Time,Temperature,Humidity,,,
5/5/2021 0:00,22.5,33,,,
5/5/2021 2:00,22.4,33,,,
5/5/2021 4:00,22,34.3,,,
5/5/2021 6:00,21.6,36.8,,,
5/5/2021 8:00,21.9,36.8,,,
5/5/2021 10:00,22.3,36,,,
5/5/2021 12:00,23.1,35.6,,,
5/5/2021 14:00,23.1,36.8,,,
5/5/2021 16:00,22.9,35.5,,,
5/5/2021 18:00,22.7,34.2,,,
5/5/2021 20:00,22.4,32,,,
5/5/2021 22:00,22.2,30.4,,,
5/6/2021 0:00,22,30,,,
5/6/2021 2:00,21.9,30,,,
5/6/2021 4:00,21.2,29.9,,,
5/6/2021 6:00,21,30.8,,,
5/6/2021 8:00,21.4,29.4,,,
5/6/2021 10:00,21.8,28.4,,,
5/6/2021 12:00,22.4,30.4,,,
5/6/2021 14:00,22.5,33.2,,,
5/6/2021 16:00,22.5,33.5,,,
5/6/2021 18:00,22.3,34,,,
5/6/2021 20:00,22.2,34,,,
5/6/2021 22:00,22.1,35,,,
5/7/2021 0:00,22,36.1,,,
5/7/2021 2:00,22,37.2,,,
5/7/2021 4:00,21.8,40.6,,,
5/7/2021 6:00,21.4,43,,,
5/7/2021 8:00,21.8,42.8,,,
5/7/2021 10:00,22.5,41.5,,,
5/7/2021 12:00,23.5,40.9,,,
5/7/2021 14:00,24.1,36,,,
5/7/2021 16:00,23.5,35.6,,,
5/7/2021 18:00,23,32.9,,,
5/7/2021 20:00,22.7,30.4,,,
5/7/2021 22:00,22.4,28.8,,,
5/8/2021 0:00,22.2,28,,,
5/8/2021 2:00,22,28,,,
5/8/2021 4:00,21.9,28,,,
5/8/2021 6:00,21.9,28,,,
5/8/2021 8:00,22.2,26.9,,,
5/8/2021 10:00,22.7,26,,,
5/8/2021 12:00,24,26,,,
5/8/2021 14:00,24.3,25.9,,,
5/8/2021 16:00,23.6,27.9,,,
5/8/2021 18:00,23.2,28.3,,,
5/8/2021 20:00,22.9,29,,,
5/8/2021 22:00,22.7,29.8,,,
5/9/2021 0:00,22.4,30,,,
5/9/2021 2:00,22.2,30.1,,,
5/9/2021 4:00,22,30.9,,,
5/9/2021 6:00,22,31,,,
5/9/2021 8:00,22.2,31.1,,,
5/9/2021 10:00,22.8,32,,,
5/9/2021 12:00,24,31,,,
5/9/2021 14:00,24.3,31.1,,,
5/9/2021 16:00,23.7,32.7,,,
5/9/2021 18:00,23.3,33.1,,,
5/9/2021 20:00,23.1,34,,,
5/9/2021 22:00,22.9,34.8,,,
5/10/2021 0:00,22.8,35.1,,,
5/10/2021 2:00,22.8,35.8,,,
5/10/2021 4:00,22.6,37.5,,,
5/10/2021 6:00,22.5,41.5,,,
5/10/2021 8:00,22.8,40.7,,,
5/10/2021 10:00,23.4,41.4,,,
5/10/2021 12:00,24.2,40.6,,,
5/10/2021 14:00,24.5,40.4,,,
5/10/2021 16:00,24.2,41.1,,,
5/10/2021 18:00,24,40.4,,,
5/10/2021 20:00,23.7,39.2,,,
5/10/2021 22:00,23.5,39,,,
5/11/2021 0:00,23.3,39.6,,,
5/11/2021 2:00,23.3,40,,,
5/11/2021 4:00,23.2,41.9,,,
5/11/2021 6:00,22.9,48.5,,,
5/11/2021 8:00,23,50.2,,,
5/11/2021 10:00,23,51.9,,,
5/11/2021 12:00,22.8,53,,,
5/11/2021 14:00,23.3,50.2,,,
5/11/2021 16:00,23.2,48.7,,,
5/11/2021 18:00,23.1,47.4,,,
5/11/2021 20:00,22.9,46.5,,,
5/11/2021 22:00,22.8,45.8,,,
5/12/2021 0:00,22.6,45,,,
5/12/2021 2:00,22.6,44,,,
5/12/2021 4:00,22.3,45,,,
5/12/2021 6:00,21.9,47.3,,,
5/12/2021 8:00,22.3,45.8,,,
5/12/2021 10:00,22.6,44.4,,,
5/12/2021 12:00,22.9,40.9,,,
5/12/2021 14:00,23.1,41.9,,,
5/12/2021 16:00,23.1,41,,,
5/12/2021 18:00,22.9,40,,,
5/12/2021 20:00,22.7,40,,,
5/12/2021 22:00,22.6,40,,,
5/13/2021 0:00,22.4,40,,,
5/13/2021 2:00,22.3,39.3,,,
5/13/2021 4:00,21.9,40,,,
5/13/2021 6:00,21.4,42.1,,,
5/13/2021 8:00,21.9,41.2,,,
5/13/2021 10:00,22.5,40.7,,,
5/13/2021 12:00,23.2,36.6,,,
5/13/2021 14:00,23.2,37.7,,,
5/13/2021 16:00,23,38,,,
5/13/2021 18:00,22.8,38,,,
5/13/2021 20:00,22.7,38,,,
5/13/2021 22:00,22.6,38,,,
5/14/2021 0:00,22.4,39,,,
5/14/2021 2:00,22.4,39,,,
5/14/2021 4:00,22.1,42.1,,,
5/14/2021 6:00,21.9,45.3,,,
5/14/2021 8:00,22,44.4,,,
5/14/2021 10:00,22.5,39.5,,,
5/14/2021 12:00,23.8,39.3,,,
5/14/2021 14:00,24.1,38.2,,,
5/14/2021 16:00,23.5,39.8,,,
5/14/2021 18:00,23.2,40,,,
5/14/2021 20:00,23,40.6,,,
5/14/2021 22:00,22.8,41,,,
5/15/2021 0:00,22.6,41,,,
5/15/2021 2:00,22.5,41,,,
5/15/2021 4:00,22.5,41,,,
5/15/2021 6:00,22.5,41,,,
5/15/2021 8:00,22.7,41.8,,,
5/15/2021 10:00,23,41.2,,,
5/15/2021 12:00,23,41,,,
5/15/2021 14:00,23,40.9,,,
5/15/2021 16:00,22.9,41,,,
5/15/2021 18:00,22.8,41.9,,,
5/15/2021 20:00,22.6,42,,,
5/15/2021 22:00,22.4,42,,,
5/16/2021 0:00,22.3,42,,,
5/16/2021 2:00,22.2,42,,,
5/16/2021 4:00,22,42,,,
5/16/2021 6:00,22,42,,,
5/16/2021 8:00,22.3,41.7,,,
5/16/2021 10:00,22.6,41,,,
5/16/2021 12:00,22.6,41.4,,,
5/16/2021 14:00,22.6,42,,,
5/16/2021 16:00,22.5,42.5,,,
5/16/2021 18:00,22.4,43.9,,,
5/16/2021 20:00,22.2,44,,,
5/16/2021 22:00,22.2,44,,,
5/17/2021 0:00,22.1,44,,,
5/17/2021 2:00,22.2,43,,,
5/17/2021 4:00,21.8,43.7,,,
5/17/2021 6:00,21.4,44.9,,,
5/17/2021 8:00,21.7,42.3,,,
5/17/2021 10:00,22.3,36.3,,,
5/17/2021 12:00,23,32.8,,,
5/17/2021 14:00,23.7,34.6,,,
5/17/2021 16:00,23.2,36.6,,,
5/17/2021 18:00,22.8,35.5,,,
5/17/2021 20:00,22.5,35,,,
5/17/2021 22:00,22.3,34.3,,,
5/18/2021 0:00,22.1,34,,,
5/18/2021 2:00,21.9,34.9,,,
