Time,Temperature,Humidity,,,
4/30/2021 10:00,22.4,48.3,,,
4/30/2021 12:00,22.5,48.2,,,
4/30/2021 14:00,22.6,48.2,,,
4/30/2021 16:00,22.7,48.2,,,
4/30/2021 18:00,22.8,48.2,,,
4/30/2021 20:00,22.6,46.9,,,
4/30/2021 22:00,22.5,46,,,
5/1/2021 0:00,22.4,45.4,,,
5/1/2021 2:00,22.3,45,,,
5/1/2021 4:00,22.2,45,,,
5/1/2021 6:00,22.2,44.1,,,
5/1/2021 8:00,22.3,44,,,
5/1/2021 10:00,22.5,44,,,
5/1/2021 12:00,22.6,44,,,
5/1/2021 14:00,22.5,44,,,
5/1/2021 16:00,22.4,44.9,,,
5/1/2021 18:00,22.3,45,,,
5/1/2021 20:00,22.2,45,,,
5/1/2021 22:00,22.1,45,,,
5/2/2021 0:00,22,45,,,
5/2/2021 2:00,21.9,44.2,,,
5/2/2021 4:00,21.8,43.8,,,
5/2/2021 6:00,21.8,43,,,
5/2/2021 8:00,21.8,42.9,,,
5/2/2021 10:00,22,41.7,,,
5/2/2021 12:00,22.3,40.4,,,
5/2/2021 14:00,22.4,39.4,,,
5/2/2021 16:00,22.3,38.9,,,
5/2/2021 18:00,22.2,39,,,
5/2/2021 20:00,22,38.1,,,
5/2/2021 22:00,21.8,37.1,,,
5/3/2021 0:00,21.7,37,,,
5/3/2021 2:00,21.7,37,,,
5/3/2021 4:00,21.6,35.9,,,
5/3/2021 6:00,21.4,33.5,,,
5/3/2021 8:00,21.5,31.8,,,
5/3/2021 10:00,22.1,29.8,,,
5/3/2021 12:00,22.5,28.8,,,
5/3/2021 14:00,22.9,30.8,,,
5/3/2021 16:00,22.9,32.7,,,
5/3/2021 18:00,22.7,32.8,,,
5/3/2021 20:00,22.4,33.8,,,
5/3/2021 22:00,22.2,34.8,,,
5/4/2021 0:00,22.1,35,,,
5/4/2021 2:00,22,35,,,
5/4/2021 4:00,21.9,34.3,,,
5/4/2021 6:00,21.8,33.5,,,
5/4/2021 8:00,22.1,35,,,
5/4/2021 10:00,22.5,36.6,,,
5/4/2021 12:00,23,34.9,,,
5/4/2021 14:00,23.4,35.3,,,
5/4/2021 16:00,23.3,37.2,,,
5/4/2021 18:00,23,36,,,
